date,nav,scheme_code,scheme_name
01-06-2026,6156.7532,119092,Axis_Bluechip
29-05-2026,6151.1139,119092,Axis_Bluechip
27-05-2026,6146.6118,119092,Axis_Bluechip
26-05-2026,6144.0004,119092,Axis_Bluechip
25-05-2026,6144.8478,119092,Axis_Bluechip
22-05-2026,6142.638,119092,Axis_Bluechip
21-05-2026,6142.8808,119092,Axis_Bluechip
20-05-2026,6147.5856,119092,Axis_Bluechip
19-05-2026,6149.7598,119092,Axis_Bluechip
18-05-2026,6148.4847,119092,Axis_Bluechip
15-05-2026,6148.3016,119092,Axis_Bluechip
14-05-2026,6148.9361,119092,Axis_Bluechip
13-05-2026,6150.1257,119092,Axis_Bluechip
12-05-2026,6150.5076,119092,Axis_Bluechip
11-05-2026,6151.8671,119092,Axis_Bluechip
08-05-2026,6151.3707,119092,Axis_Bluechip
07-05-2026,6149.9098,119092,Axis_Bluechip
06-05-2026,6149.0307,119092,Axis_Bluechip
05-05-2026,6146.0001,119092,Axis_Bluechip
04-05-2026,6145.7049,119092,Axis_Bluechip
30-04-2026,6140.1614,119092,Axis_Bluechip
29-04-2026,6141.8799,119092,Axis_Bluechip
28-04-2026,6143.001,119092,Axis_Bluechip
27-04-2026,6142.5902,119092,Axis_Bluechip
24-04-2026,6142.2018,119092,Axis_Bluechip
23-04-2026,6141.9603,119092,Axis_Bluechip
22-04-2026,6143.3663,119092,Axis_Bluechip
21-04-2026,6142.9601,119092,Axis_Bluechip
20-04-2026,6142.2537,119092,Axis_Bluechip
17-04-2026,6139.2351,119092,Axis_Bluechip
16-04-2026,6139.7004,119092,Axis_Bluechip
15-04-2026,6137.6962,119092,Axis_Bluechip
13-04-2026,6133.4071,119092,Axis_Bluechip
10-04-2026,6129.7674,119092,Axis_Bluechip
09-04-2026,6126.1544,119092,Axis_Bluechip
08-04-2026,6119.1243,119092,Axis_Bluechip
07-04-2026,6110.1834,119092,Axis_Bluechip
06-04-2026,6107.3346,119092,Axis_Bluechip
02-04-2026,6104.7264,119092,Axis_Bluechip
31-03-2026,6102.5131,119092,Axis_Bluechip
30-03-2026,6101.3858,119092,Axis_Bluechip
27-03-2026,6095.1859,119092,Axis_Bluechip
25-03-2026,6090.541,119092,Axis_Bluechip
24-03-2026,6089.2045,119092,Axis_Bluechip
23-03-2026,6090.1601,119092,Axis_Bluechip
20-03-2026,6093.5261,119092,Axis_Bluechip
18-03-2026,6093.8586,119092,Axis_Bluechip
17-03-2026,6089.0993,119092,Axis_Bluechip
16-03-2026,6086.3434,119092,Axis_Bluechip
13-03-2026,6083.6197,119092,Axis_Bluechip
12-03-2026,6087.112,119092,Axis_Bluechip
11-03-2026,6088.3404,119092,Axis_Bluechip
10-03-2026,6086.6516,119092,Axis_Bluechip
09-03-2026,6085.2288,119092,Axis_Bluechip
06-03-2026,6084.2962,119092,Axis_Bluechip
05-03-2026,6082.3927,119092,Axis_Bluechip
04-03-2026,6081.0589,119092,Axis_Bluechip
02-03-2026,6081.764,119092,Axis_Bluechip
27-02-2026,6079.9195,119092,Axis_Bluechip
26-02-2026,6078.8123,119092,Axis_Bluechip
25-02-2026,6077.5886,119092,Axis_Bluechip
24-02-2026,6076.1758,119092,Axis_Bluechip
23-02-2026,6074.6388,119092,Axis_Bluechip
20-02-2026,6071.6571,119092,Axis_Bluechip
18-02-2026,6069.767,119092,Axis_Bluechip
17-02-2026,6069.7063,119092,Axis_Bluechip
16-02-2026,6069.3783,119092,Axis_Bluechip
13-02-2026,6066.864,119092,Axis_Bluechip
12-02-2026,6063.705,119092,Axis_Bluechip
11-02-2026,6061.1204,119092,Axis_Bluechip
10-02-2026,6058.8643,119092,Axis_Bluechip
09-02-2026,6057.5032,119092,Axis_Bluechip
06-02-2026,6054.9686,119092,Axis_Bluechip
05-02-2026,6055.7449,119092,Axis_Bluechip
04-02-2026,6053.3313,119092,Axis_Bluechip
03-02-2026,6050.7733,119092,Axis_Bluechip
02-02-2026,6047.2159,119092,Axis_Bluechip
30-01-2026,6043.7838,119092,Axis_Bluechip
29-01-2026,6041.3173,119092,Axis_Bluechip
28-01-2026,6040.7842,119092,Axis_Bluechip
27-01-2026,6041.4977,119092,Axis_Bluechip
23-01-2026,6037.6453,119092,Axis_Bluechip
22-01-2026,6037.506,119092,Axis_Bluechip
21-01-2026,6034.6246,119092,Axis_Bluechip
20-01-2026,6033.4329,119092,Axis_Bluechip
19-01-2026,6033.5639,119092,Axis_Bluechip
16-01-2026,6031.7639,119092,Axis_Bluechip
14-01-2026,6031.499,119092,Axis_Bluechip
13-01-2026,6030.9953,119092,Axis_Bluechip
12-01-2026,6031.2329,119092,Axis_Bluechip
09-01-2026,6028.4591,119092,Axis_Bluechip
08-01-2026,6028.086,119092,Axis_Bluechip
07-01-2026,6028.3846,119092,Axis_Bluechip
06-01-2026,6028.7271,119092,Axis_Bluechip
05-01-2026,6027.6905,119092,Axis_Bluechip
02-01-2026,6025.268,119092,Axis_Bluechip
01-01-2026,6024.7187,119092,Axis_Bluechip
31-12-2025,6023.5454,119092,Axis_Bluechip
30-12-2025,6020.3988,119092,Axis_Bluechip
29-12-2025,6020.5172,119092,Axis_Bluechip
26-12-2025,6017.7227,119092,Axis_Bluechip
24-12-2025,6015.9944,119092,Axis_Bluechip
23-12-2025,6013.8267,119092,Axis_Bluechip
22-12-2025,6012.9635,119092,Axis_Bluechip
19-12-2025,6009.9347,119092,Axis_Bluechip
18-12-2025,6008.9502,119092,Axis_Bluechip
17-12-2025,6007.8902,119092,Axis_Bluechip
16-12-2025,6007.2035,119092,Axis_Bluechip
15-12-2025,6006.304,119092,Axis_Bluechip
12-12-2025,6004.0068,119092,Axis_Bluechip
11-12-2025,6003.0596,119092,Axis_Bluechip
10-12-2025,6002.278,119092,Axis_Bluechip
09-12-2025,6002.302,119092,Axis_Bluechip
08-12-2025,6002.0388,119092,Axis_Bluechip
05-12-2025,5999.0953,119092,Axis_Bluechip
04-12-2025,5996.9391,119092,Axis_Bluechip
03-12-2025,5996.3511,119092,Axis_Bluechip
02-12-2025,5995.7798,119092,Axis_Bluechip
01-12-2025,5994.9936,119092,Axis_Bluechip
28-11-2025,5992.5375,119092,Axis_Bluechip
27-11-2025,5991.5695,119092,Axis_Bluechip
26-11-2025,5990.4554,119092,Axis_Bluechip
25-11-2025,5989.3488,119092,Axis_Bluechip
24-11-2025,5988.0799,119092,Axis_Bluechip
21-11-2025,5985.1789,119092,Axis_Bluechip
20-11-2025,5984.2663,119092,Axis_Bluechip
19-11-2025,5983.4016,119092,Axis_Bluechip
18-11-2025,5982.3808,119092,Axis_Bluechip
17-11-2025,5981.2066,119092,Axis_Bluechip
14-11-2025,5978.3518,119092,Axis_Bluechip
13-11-2025,5977.4171,119092,Axis_Bluechip
12-11-2025,5976.3688,119092,Axis_Bluechip
11-11-2025,5975.0374,119092,Axis_Bluechip
10-11-2025,5973.9734,119092,Axis_Bluechip
07-11-2025,5971.0247,119092,Axis_Bluechip
06-11-2025,5969.9256,119092,Axis_Bluechip
04-11-2025,5967.9587,119092,Axis_Bluechip
03-11-2025,5966.9646,119092,Axis_Bluechip
31-10-2025,5963.9425,119092,Axis_Bluechip
30-10-2025,5962.9105,119092,Axis_Bluechip
29-10-2025,5962.2436,119092,Axis_Bluechip
28-10-2025,5961.2816,119092,Axis_Bluechip
27-10-2025,5959.9594,119092,Axis_Bluechip
24-10-2025,5957.0133,119092,Axis_Bluechip
23-10-2025,5956.2661,119092,Axis_Bluechip
20-10-2025,5953.5542,119092,Axis_Bluechip
17-10-2025,5950.679,119092,Axis_Bluechip
16-10-2025,5949.9941,119092,Axis_Bluechip
15-10-2025,5949.6158,119092,Axis_Bluechip
14-10-2025,5948.725,119092,Axis_Bluechip
13-10-2025,5947.7955,119092,Axis_Bluechip
10-10-2025,5944.8495,119092,Axis_Bluechip
09-10-2025,5943.9808,119092,Axis_Bluechip
08-10-2025,5943.1699,119092,Axis_Bluechip
07-10-2025,5942.4446,119092,Axis_Bluechip
06-10-2025,5941.7936,119092,Axis_Bluechip
03-10-2025,5938.4748,119092,Axis_Bluechip
01-10-2025,5935.6,119092,Axis_Bluechip
30-09-2025,5933.5373,119092,Axis_Bluechip
26-09-2025,5928.0474,119092,Axis_Bluechip
25-09-2025,5927.3108,119092,Axis_Bluechip
24-09-2025,5926.6741,119092,Axis_Bluechip
23-09-2025,5925.9531,119092,Axis_Bluechip
22-09-2025,5924.9723,119092,Axis_Bluechip
19-09-2025,5922.1357,119092,Axis_Bluechip
18-09-2025,5921.2244,119092,Axis_Bluechip
17-09-2025,5919.7048,119092,Axis_Bluechip
16-09-2025,5918.118,119092,Axis_Bluechip
15-09-2025,5916.611,119092,Axis_Bluechip
12-09-2025,5913.8365,119092,Axis_Bluechip
11-09-2025,5913.2938,119092,Axis_Bluechip
10-09-2025,5912.0041,119092,Axis_Bluechip
09-09-2025,5911.3924,119092,Axis_Bluechip
05-09-2025,5908.5683,119092,Axis_Bluechip
04-09-2025,5907.6123,119092,Axis_Bluechip
03-09-2025,5906.7644,119092,Axis_Bluechip
02-09-2025,5905.9868,119092,Axis_Bluechip
01-09-2025,5905.5718,119092,Axis_Bluechip
29-08-2025,5902.9876,119092,Axis_Bluechip
28-08-2025,5902.4099,119092,Axis_Bluechip
26-08-2025,5900.7107,119092,Axis_Bluechip
25-08-2025,5899.9888,119092,Axis_Bluechip
22-08-2025,5897.2374,119092,Axis_Bluechip
21-08-2025,5896.2147,119092,Axis_Bluechip
20-08-2025,5895.2164,119092,Axis_Bluechip
19-08-2025,5894.2742,119092,Axis_Bluechip
18-08-2025,5892.9896,119092,Axis_Bluechip
14-08-2025,5889.2636,119092,Axis_Bluechip
13-08-2025,5888.1247,119092,Axis_Bluechip
12-08-2025,5887.3908,119092,Axis_Bluechip
11-08-2025,5887.2286,119092,Axis_Bluechip
08-08-2025,5884.8484,119092,Axis_Bluechip
07-08-2025,5884.0837,119092,Axis_Bluechip
06-08-2025,5883.3045,119092,Axis_Bluechip
05-08-2025,5883.4482,119092,Axis_Bluechip
04-08-2025,5882.1589,119092,Axis_Bluechip
01-08-2025,5878.7932,119092,Axis_Bluechip
31-07-2025,5877.5109,119092,Axis_Bluechip
30-07-2025,5876.5092,119092,Axis_Bluechip
29-07-2025,5875.6626,119092,Axis_Bluechip
28-07-2025,5875.1043,119092,Axis_Bluechip
25-07-2025,5872.8052,119092,Axis_Bluechip
24-07-2025,5872.0366,119092,Axis_Bluechip
23-07-2025,5871.1828,119092,Axis_Bluechip
22-07-2025,5869.8417,119092,Axis_Bluechip
21-07-2025,5869.1171,119092,Axis_Bluechip
18-07-2025,5866.4951,119092,Axis_Bluechip
17-07-2025,5865.3853,119092,Axis_Bluechip
16-07-2025,5864.3753,119092,Axis_Bluechip
15-07-2025,5863.6201,119092,Axis_Bluechip
14-07-2025,5862.5908,119092,Axis_Bluechip
11-07-2025,5858.9296,119092,Axis_Bluechip
10-07-2025,5858.4766,119092,Axis_Bluechip
09-07-2025,5857.2164,119092,Axis_Bluechip
08-07-2025,5856.9332,119092,Axis_Bluechip
07-07-2025,5856.2977,119092,Axis_Bluechip
04-07-2025,5853.3606,119092,Axis_Bluechip
03-07-2025,5852.4845,119092,Axis_Bluechip
02-07-2025,5851.0981,119092,Axis_Bluechip
01-07-2025,5847.481,119092,Axis_Bluechip
30-06-2025,5843.7929,119092,Axis_Bluechip
27-06-2025,5840.5596,119092,Axis_Bluechip
26-06-2025,5839.2453,119092,Axis_Bluechip
25-06-2025,5838.0925,119092,Axis_Bluechip
24-06-2025,5838.486,119092,Axis_Bluechip
