date,nav,scheme_code,scheme_name
01-06-2026,246.9814,120841,Kotak_Bluechip
29-05-2026,248.6673,120841,Kotak_Bluechip
27-05-2026,251.2273,120841,Kotak_Bluechip
26-05-2026,251.2702,120841,Kotak_Bluechip
25-05-2026,249.2266,120841,Kotak_Bluechip
22-05-2026,247.8039,120841,Kotak_Bluechip
21-05-2026,248.8853,120841,Kotak_Bluechip
20-05-2026,244.7199,120841,Kotak_Bluechip
19-05-2026,241.6771,120841,Kotak_Bluechip
18-05-2026,241.2615,120841,Kotak_Bluechip
15-05-2026,242.0952,120841,Kotak_Bluechip
14-05-2026,243.5314,120841,Kotak_Bluechip
13-05-2026,240.0746,120841,Kotak_Bluechip
12-05-2026,238.1528,120841,Kotak_Bluechip
11-05-2026,242.7219,120841,Kotak_Bluechip
08-05-2026,244.6201,120841,Kotak_Bluechip
07-05-2026,245.6055,120841,Kotak_Bluechip
06-05-2026,245.3878,120841,Kotak_Bluechip
05-05-2026,242.9594,120841,Kotak_Bluechip
04-05-2026,242.7655,120841,Kotak_Bluechip
30-04-2026,240.5353,120841,Kotak_Bluechip
29-04-2026,242.345,120841,Kotak_Bluechip
28-04-2026,242.6241,120841,Kotak_Bluechip
27-04-2026,241.2517,120841,Kotak_Bluechip
24-04-2026,238.1456,120841,Kotak_Bluechip
23-04-2026,239.7583,120841,Kotak_Bluechip
22-04-2026,238.5702,120841,Kotak_Bluechip
21-04-2026,236.4598,120841,Kotak_Bluechip
20-04-2026,235.1961,120841,Kotak_Bluechip
17-04-2026,236.2133,120841,Kotak_Bluechip
16-04-2026,233.318,120841,Kotak_Bluechip
15-04-2026,231.5434,120841,Kotak_Bluechip
13-04-2026,226.9809,120841,Kotak_Bluechip
10-04-2026,228.6993,120841,Kotak_Bluechip
09-04-2026,224.6235,120841,Kotak_Bluechip
08-04-2026,224.5909,120841,Kotak_Bluechip
07-04-2026,217.9604,120841,Kotak_Bluechip
06-04-2026,217.6413,120841,Kotak_Bluechip
02-04-2026,216.2795,120841,Kotak_Bluechip
01-04-2026,216.7627,120841,Kotak_Bluechip
31-03-2026,212.3571,120841,Kotak_Bluechip
30-03-2026,212.3561,120841,Kotak_Bluechip
27-03-2026,215.979,120841,Kotak_Bluechip
25-03-2026,218.6866,120841,Kotak_Bluechip
24-03-2026,214.9164,120841,Kotak_Bluechip
23-03-2026,210.115,120841,Kotak_Bluechip
20-03-2026,215.8819,120841,Kotak_Bluechip
19-03-2026,214.0899,120841,Kotak_Bluechip
18-03-2026,219.4077,120841,Kotak_Bluechip
17-03-2026,215.8723,120841,Kotak_Bluechip
16-03-2026,213.4091,120841,Kotak_Bluechip
13-03-2026,212.7884,120841,Kotak_Bluechip
12-03-2026,216.8313,120841,Kotak_Bluechip
11-03-2026,217.2638,120841,Kotak_Bluechip
10-03-2026,217.2151,120841,Kotak_Bluechip
09-03-2026,213.7211,120841,Kotak_Bluechip
06-03-2026,215.1244,120841,Kotak_Bluechip
05-03-2026,216.0433,120841,Kotak_Bluechip
04-03-2026,213.8632,120841,Kotak_Bluechip
02-03-2026,217.4449,120841,Kotak_Bluechip
27-02-2026,221.2108,120841,Kotak_Bluechip
26-02-2026,223.828,120841,Kotak_Bluechip
25-02-2026,222.6482,120841,Kotak_Bluechip
24-02-2026,220.5605,120841,Kotak_Bluechip
23-02-2026,221.7051,120841,Kotak_Bluechip
20-02-2026,221.3408,120841,Kotak_Bluechip
19-02-2026,220.4132,120841,Kotak_Bluechip
18-02-2026,223.2608,120841,Kotak_Bluechip
17-02-2026,222.9773,120841,Kotak_Bluechip
16-02-2026,222.4954,120841,Kotak_Bluechip
13-02-2026,222.5748,120841,Kotak_Bluechip
12-02-2026,225.4245,120841,Kotak_Bluechip
11-02-2026,225.6929,120841,Kotak_Bluechip
10-02-2026,225.1996,120841,Kotak_Bluechip
09-02-2026,224.5198,120841,Kotak_Bluechip
06-02-2026,221.7398,120841,Kotak_Bluechip
05-02-2026,220.8275,120841,Kotak_Bluechip
04-02-2026,220.8543,120841,Kotak_Bluechip
